Index,Name,Type,Size(in MB),Date Uploaded,Path
0,arc,True,,2018-04-07 10:07:42.956233+00:00,d9a7586e-5582-482e-822c-a65d4292ed77
0.0.1,CDR LOGO SMALL.png,False,23913.0,2018-04-07 11:56:27.275116+00:00,arch1_f43a3bc6-ea60-4a12-a532-b8f22b3b32d4/CDR_LOGO_SMALL_aLBgX2i.png
0.0.2,abc.pdf,False,2471155.0,2018-04-07 10:08:35.434852+00:00,arch1_f43a3bc6-ea60-4a12-a532-b8f22b3b32d4/Dynamics_365_Enterprise_edition_Licensing_Gui_tTQQgM7.pdf
0.0.3,Confiex Data Room ISO 27001 Certificate.pdf,False,516550.0,2018-05-11 09:43:13.322598+00:00,arch1_f43a3bc6-ea60-4a12-a532-b8f22b3b32d4/Confiex_Data_Room_ISO_27001_jDtpqOj.pdf
1,abc,True,,2018-05-10 06:39:25.480769+00:00,f17a66c0-e4c7-496d-b10b-35d9e28ff033
1.0.1,Confiex Data Room ISO 27001.pdf,False,516550.0,2018-05-11 10:32:54.034783+00:00,arch1_f43a3bc6-ea60-4a12-a532-b8f22b3b32d4/Confiex_Data_Room_ISO_27001_ejhaqzx.pdf
1.0.2,AirPurifierBrochure.pdf,False,438476.0,2018-05-11 11:15:03.151608+00:00,arch1_f43a3bc6-ea60-4a12-a532-b8f22b3b32d4/AirPurifierBrochure_oEgs3je.pdf
1.1,xyz,True,,2018-05-11 11:18:22.845386+00:00,b6fe670e-3fe3-4434-8fb5-869794c24418
